id,channel_id,duration(sec),domain
d8kFVoRBzSQ,UCOqU-HfQxoyImaCW2tCDxJA,830,"news debates,news panel discussions,news roundtables,news talk shows"
hoC6vqmYa5w,UCOqU-HfQxoyImaCW2tCDxJA,1715,"news debates,news panel discussions,news roundtables,news talk shows"
hoNZi_q7RF0,UCOqU-HfQxoyImaCW2tCDxJA,895,"news debates,news panel discussions,news roundtables,news talk shows"
hoeW9BgCheQ,UCOqU-HfQxoyImaCW2tCDxJA,850,"news debates,news panel discussions,news roundtables,news talk shows"
7CJqoC1DjS4,UCOqU-HfQxoyImaCW2tCDxJA,950,"news debates,news panel discussions,news roundtables,news talk shows"
dGmKDzVlKMM,UCOqU-HfQxoyImaCW2tCDxJA,1475,"news debates,news panel discussions,news roundtables,news talk shows"
dJ7cJB6X9Mw,UCOqU-HfQxoyImaCW2tCDxJA,864,"news debates,news panel discussions,news roundtables,news talk shows"
dL9APL6Okgw,UCOqU-HfQxoyImaCW2tCDxJA,895,"news debates,news panel discussions,news roundtables,news talk shows"
dNP2fg3ebHw,UCOqU-HfQxoyImaCW2tCDxJA,925,"news debates,news panel discussions,news roundtables,news talk shows"
dNtDtqoFbXQ,UCOqU-HfQxoyImaCW2tCDxJA,1745,"news debates,news panel discussions,news roundtables,news talk shows"
dNzD8f6sj70,UCOqU-HfQxoyImaCW2tCDxJA,1875,"news debates,news panel discussions,news roundtables,news talk shows"
ceqmT8JqegI,UCOqU-HfQxoyImaCW2tCDxJA,940,"news debates,news panel discussions,news roundtables,news talk shows"
hqE_CkwVeFc,UCOqU-HfQxoyImaCW2tCDxJA,850,"news debates,news panel discussions,news roundtables,news talk shows"
9vVklGjbHHs,UCOqU-HfQxoyImaCW2tCDxJA,1270,"news debates,news panel discussions,news roundtables,news talk shows"
ABLJrUVP8UI,UCOqU-HfQxoyImaCW2tCDxJA,700,"news debates,news panel discussions,news roundtables,news talk shows"
B4wg0IbEaUo,UCOqU-HfQxoyImaCW2tCDxJA,825,"news debates,news panel discussions,news roundtables,news talk shows"
dPBertMRCdU,UCn6KEMU47oO19OgXRGhofog,389,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
BPcC4_M0yMM,UCn6KEMU47oO19OgXRGhofog,480,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
dPVuPHihEW4,UCOqU-HfQxoyImaCW2tCDxJA,845,"news debates,news panel discussions,news roundtables,news talk shows"
dQT1b0gmUJw,UCOqU-HfQxoyImaCW2tCDxJA,860,"news debates,news panel discussions,news roundtables,news talk shows"
dRigE8kISI8,UC_E7W_Thy7iN3PMZ0UBkLkQ,491,vlogs
