id,channel_id,duration(sec),domain
lm-RGeQjWHE,UCijCXB1S7FVC6GnJ2t8qw7Q,249,music
lmqtL8iI8m0,UC73lNsweYibxCeQ3r48YUAQ,983,vlogs
lmwM3OJSQ0Q,UC6OH4tj0WzUsxxx_C3K5q5A,240,"entertainment talk shows,vlogs"
lolyjrnGwbI,UC41hszq3ex3RFkRD9rAFO-w,306,music
mCeJa3T1PT4,UCvjnIKVz_oky21epj5WNtmQ,363,music
lqUI_CvOEfA,UCijCXB1S7FVC6GnJ2t8qw7Q,227,music
lqmXo5gr4qQ,UC41hszq3ex3RFkRD9rAFO-w,283,music
lrCBc-O-pz0,UC41hszq3ex3RFkRD9rAFO-w,414,music
lsYmxgfHKOM,UCijCXB1S7FVC6GnJ2t8qw7Q,159,music
lsZ2KkTs1rk,UCijCXB1S7FVC6GnJ2t8qw7Q,229,music
lsvvpGlmOOU,UC41hszq3ex3RFkRD9rAFO-w,1879,music
lt4ojV_zcUE,UCKEQRtPWHkth-qAgpXkGTiA,407,music
lthd4Zcgi4I,UCNMujyFCJxcHlvIMekaBuDw,391,music
luChSIvzpY8,UCtK-nd3rPl_eLeMappMWcWw,399,music
lupLot5oqOA,UCijCXB1S7FVC6GnJ2t8qw7Q,238,music
lvt9pnPYbgY,UC_CJvCaihWih_T5OQ4sehLw,339,"podcast,vlogs,entertainment talk shows"
lw18gA1xe-w,UCKEQRtPWHkth-qAgpXkGTiA,493,music
lwlDi4c99XU,UC4SqF4b1eqJal3b4RmOzP1w,452,music
lwtZndd-PPY,UCtK-nd3rPl_eLeMappMWcWw,358,music
GFKLkjy8RT0,UCtR3hDuN5BMW9PHo9GTqTwQ,388,music
lxKH0PO5peM,UCijCXB1S7FVC6GnJ2t8qw7Q,244,music
lxM2XadvSRk,UCtK-nd3rPl_eLeMappMWcWw,387,music
ly5SuvOHbXg,UCijCXB1S7FVC6GnJ2t8qw7Q,237,music
lyP2W7Q9rts,UCtK-nd3rPl_eLeMappMWcWw,429,music
lygG0qwPI5Q,UCijCXB1S7FVC6GnJ2t8qw7Q,266,music
nB0n8uYqfoQ,UCnp316OSAy7OfcmYEESwjuw,317,music
lz3uzGIJL_8,UCijCXB1S7FVC6GnJ2t8qw7Q,215,music
lzBNXKfoLhg,UCtR3hDuN5BMW9PHo9GTqTwQ,303,music
lzSA2-MEMRM,UCijCXB1S7FVC6GnJ2t8qw7Q,225,music
lzr4UK1fehY,UCijCXB1S7FVC6GnJ2t8qw7Q,256,music
m-vEeOz2FkY,UCvjnIKVz_oky21epj5WNtmQ,535,music
m27cOUAyNlg,UCtR3hDuN5BMW9PHo9GTqTwQ,341,music
m2wPufrKPKw,UCLJi2Zps15e1jCCIUfZaPCA,624,music
m2ytq20nBwg,UCvjnIKVz_oky21epj5WNtmQ,462,music
m39jGIjFRfA,UCtK-nd3rPl_eLeMappMWcWw,433,music
m40oqfikJ98,UCijCXB1S7FVC6GnJ2t8qw7Q,281,music
m430R7_TSU0,UCtK-nd3rPl_eLeMappMWcWw,388,music
m4InnSmKtW8,UC41hszq3ex3RFkRD9rAFO-w,377,music
m4y2oXKqVdo,UCNMujyFCJxcHlvIMekaBuDw,308,music
m5CFeR87qpY,UCijCXB1S7FVC6GnJ2t8qw7Q,202,music
m5D3Oi1C1QQ,UCtK-nd3rPl_eLeMappMWcWw,497,music
m66FAD0tmmo,UCtR3hDuN5BMW9PHo9GTqTwQ,1705,music
m6MMhZKuRlA,UCijCXB1S7FVC6GnJ2t8qw7Q,206,music
m6ZwhkFp88E,UC41hszq3ex3RFkRD9rAFO-w,385,music
m7KIj2-JueA,UC41hszq3ex3RFkRD9rAFO-w,240,music
m7RPVQC_jUA,UCvjnIKVz_oky21epj5WNtmQ,289,music
m7UnMfpKysM,UCKEQRtPWHkth-qAgpXkGTiA,327,music
m9OS57npUlo,UC41hszq3ex3RFkRD9rAFO-w,217,music
mAEIjOj7dHQ,UCtR3hDuN5BMW9PHo9GTqTwQ,348,music
mA_u8RmNMDQ,UCijCXB1S7FVC6GnJ2t8qw7Q,201,music
mAy1GN6TzM4,UCtR3hDuN5BMW9PHo9GTqTwQ,303,music
mB6sl9r0etI,UCtR3hDuN5BMW9PHo9GTqTwQ,1490,music
mC4DlOr_2bo,UCijCXB1S7FVC6GnJ2t8qw7Q,310,music
mCAYlRgVBYE,UCKEQRtPWHkth-qAgpXkGTiA,769,music
mCENVKDYEmQ,UCijCXB1S7FVC6GnJ2t8qw7Q,140,music
mCIONO5H1Aw,UCKEQRtPWHkth-qAgpXkGTiA,560,music
mCmi9_jp1V8,UC73lNsweYibxCeQ3r48YUAQ,3373,vlogs
mE0AQdN6De0,UC4SqF4b1eqJal3b4RmOzP1w,363,music
mEG_GSyDzpM,UCijCXB1S7FVC6GnJ2t8qw7Q,206,music
mEny7rRqGog,UCijCXB1S7FVC6GnJ2t8qw7Q,211,music
mFgSoRIlmmM,UCijCXB1S7FVC6GnJ2t8qw7Q,269,music
mGBU0QmWUco,UC41hszq3ex3RFkRD9rAFO-w,292,music
