id,channel_id,duration(sec),domain
QFewMvusuuU,UCvm8V4Dwtz0fbPGbpk7RYAg,691,"film interview,fashion,podcast,parliament discussion,sports interview"
hq7WhHXr_II,UCx8MbRAMH-KNJuFLKdsmZ_w,491,podcast
1FwaJH2djN4,UCx8MbRAMH-KNJuFLKdsmZ_w,81,podcast
Smfzdn1iN1I,UCvm8V4Dwtz0fbPGbpk7RYAg,1648,"film interview,fashion,podcast,parliament discussion,sports interview"
G1CvqI_LN30,UCx8MbRAMH-KNJuFLKdsmZ_w,161,podcast
VlgeXq0mnHQ,UCRpg-ZSRbmReVZ1BfHvQ3nA,1200,education talk shows
kOvkfgUhCec,UCvm8V4Dwtz0fbPGbpk7RYAg,209,"film interview,fashion,podcast,parliament discussion,sports interview"
T2DWhzIotTc,UCx8MbRAMH-KNJuFLKdsmZ_w,136,podcast
VysjzxQlJAY,UCvm8V4Dwtz0fbPGbpk7RYAg,761,"film interview,fashion,podcast,parliament discussion,sports interview"
BfImhr2cv2o,UCHNz6DIaAJ65Flj37y0bh9A,216,education interview
UdpU25J0whQ,UCx8MbRAMH-KNJuFLKdsmZ_w,121,podcast
LYzHNN-v-no,UCx8MbRAMH-KNJuFLKdsmZ_w,835,podcast
3nrPAcL_I_Q,UCvm8V4Dwtz0fbPGbpk7RYAg,224,"film interview,fashion,podcast,parliament discussion,sports interview"
z6-Zigz-E8s,UCx8MbRAMH-KNJuFLKdsmZ_w,118,podcast
en0e1zjHgVE,UCx8MbRAMH-KNJuFLKdsmZ_w,1446,podcast
Sh8DEjHde0o,UCx8MbRAMH-KNJuFLKdsmZ_w,1445,podcast
g7s4MrOA3qc,UCvm8V4Dwtz0fbPGbpk7RYAg,198,"film interview,fashion,podcast,parliament discussion,sports interview"
BTHwF5sFusw,UCx8MbRAMH-KNJuFLKdsmZ_w,160,podcast
EC6htXk64kc,UCx8MbRAMH-KNJuFLKdsmZ_w,161,podcast
MBL59g3LP9c,UCfck6NNlJPdT5J0ajW8mUVw,2267,kids stories
3c1HbjVOeWk,UCx8MbRAMH-KNJuFLKdsmZ_w,60,podcast
e3Y0sDmoOZE,UCx8MbRAMH-KNJuFLKdsmZ_w,123,podcast
YskKcFdhqRA,UCx8MbRAMH-KNJuFLKdsmZ_w,247,podcast
t0mIW2ZjE7w,UCx8MbRAMH-KNJuFLKdsmZ_w,56,podcast
B2jUd3lDQMI,UCx8MbRAMH-KNJuFLKdsmZ_w,57,podcast
EEOBi2Dr0h8,UCx8MbRAMH-KNJuFLKdsmZ_w,89,podcast
gQsFLNA8_-Q,UCB6a4ymuGiaqYfx4sgpAKPQ,636,podcast
qlzxszyzhIE,UCx8MbRAMH-KNJuFLKdsmZ_w,103,podcast
SAeNVRuReWY,UCj5eGAka22pGvd8JMsQglSQ,1474,astrology
p40seBXIiwM,UCvm8V4Dwtz0fbPGbpk7RYAg,35,"film interview,fashion,podcast,parliament discussion,sports interview"
AM_2VmmQlbA,UCvm8V4Dwtz0fbPGbpk7RYAg,54,"film interview,fashion,podcast,parliament discussion,sports interview"
N9S9eeaihJA,UCvm8V4Dwtz0fbPGbpk7RYAg,25,"film interview,fashion,podcast,parliament discussion,sports interview"
fuCU-gKq11s,UCPxumlwhpRDJ18oURMAvyNA,835,news talk shows
j35UXzQ2xRE,UCx8MbRAMH-KNJuFLKdsmZ_w,605,podcast
MHEXxWQwgGk,UCx8MbRAMH-KNJuFLKdsmZ_w,156,podcast
IKDe5MQkLRk,UCx8MbRAMH-KNJuFLKdsmZ_w,185,podcast
FoADuCZdv3w,UCx8MbRAMH-KNJuFLKdsmZ_w,161,podcast
oEAPjS4gUYw,UCx8MbRAMH-KNJuFLKdsmZ_w,51,podcast
M3_tRVl_feA,UCx8MbRAMH-KNJuFLKdsmZ_w,602,podcast
4iMzEAbxiBk,UCx8MbRAMH-KNJuFLKdsmZ_w,242,podcast
k2Hdcp4jNvw,UCx8MbRAMH-KNJuFLKdsmZ_w,129,podcast
PgXb7Ub3qkY,UCZnl4ayr-e4n7ZCjMpOsAkw,1193,education debates
BE-9PtOmi5w,UCn68MHKSGluDcSQbABxW4EQ,850,film interview
VBzRONzhmYY,UCx8MbRAMH-KNJuFLKdsmZ_w,330,podcast
9_Kq5eADZMA,UCj5eGAka22pGvd8JMsQglSQ,93,astrology
-kEQuSXCFNw,UCx8MbRAMH-KNJuFLKdsmZ_w,1214,podcast
RhJKDi49rlA,UCx8MbRAMH-KNJuFLKdsmZ_w,77,podcast
YSOBS7nsnjE,UCx8MbRAMH-KNJuFLKdsmZ_w,196,podcast
6DeB0xao5XY,UCx8MbRAMH-KNJuFLKdsmZ_w,149,podcast
ZZoXFQgyzik,UCx8MbRAMH-KNJuFLKdsmZ_w,946,podcast
7-W4BmPiQXc,UCx8MbRAMH-KNJuFLKdsmZ_w,146,podcast
G9V0IC_uHl8,UCx8MbRAMH-KNJuFLKdsmZ_w,173,podcast
Y6FiVEyJ9LY,UCvm8V4Dwtz0fbPGbpk7RYAg,143,"film interview,fashion,podcast,parliament discussion,sports interview"
-OLJkZklS4Q,UCx8MbRAMH-KNJuFLKdsmZ_w,367,podcast
TNiPlx0kQhs,UCx8MbRAMH-KNJuFLKdsmZ_w,206,podcast
eB4mbCef8bk,UCx8MbRAMH-KNJuFLKdsmZ_w,257,podcast
